Tahun,Bulan,Curah_Hujan
2003,Januari,395.20
2003,Februari,547.50
2003,Maret,150.00
2003,April,197.10
2003,Mei,50.30
2003,Juni,115.80
2003,Juli,47.00
2003,Agustus,41.60
2003,September,110.00
2003,Oktober,171.10
2003,November,263.40
2003,Desember,680.00
2004,Januari,626.10
2004,Februari,375.10
2004,Maret,303.00
2004,April,126.90
2004,Mei,228.00
2004,Juni,80.00
2004,Juli,90.10
2004,Agustus,0.00
2004,September,32.60
2004,Oktober,51.70
2004,November,289.60
2004,Desember,415.00
2005,Januari,286.90
2005,Februari,271.80
2005,Maret,332.50
2005,April,129.50
2005,Mei,230.40
2005,Juni,49.70
2005,Juli,18.80
2005,Agustus,49.30
2005,September,36.10
2005,Oktober,176.50
2005,November,203.20
2005,Desember,284.40
2006,Januari,362.60
2006,Februari,345.90
2006,Maret,294.80
2006,April,219.30
2006,Mei,72.50
2006,Juni,188.20
2006,Juli,24.70
2006,Agustus,4.60
2006,September,2.90
2006,Oktober,16.50
2006,November,115.60
2006,Desember,408.40
2007,Januari,240.60
2007,Februari,239.00
2007,Maret,482.70
2007,April,325.60
2007,Mei,235.30
2007,Juni,170.90
2007,Juli,229.30
2007,Agustus,54.80
2007,September,30.10
2007,Oktober,62.40
2007,November,1641.90
2007,Desember,255.20
2008,Januari,221.70
2008,Februari,242.00
2008,Maret,419.40
2008,April,228.50
2008,Mei,140.20
2008,Juni,170.10
2008,Juli,225.10
2008,Agustus,157.60
2008,September,127.50
2008,Oktober,208.80
2008,November,300.20
2008,Desember,427.20
2009,Januari,384.00
2009,Februari,148.00
2009,Maret,212.00
2009,April,279.00
2009,Mei,237.00
2009,Juni,22.00
2009,Juli,73.00
2009,Agustus,25.00
2009,September,21.00
2009,Oktober,189.00
2009,November,292.00
2009,Desember,287.00
2010,Januari,324.30
2010,Februari,320.60
2010,Maret,285.10
2010,April,243.00
2010,Mei,171.00
2010,Juni,365.70
2010,Juli,171.70
2010,Agustus,240.40
2010,September,338.20
2010,Oktober,256.50
2010,November,317.50
2010,Desember,354.70
2011,Januari,418.90
2011,Februari,211.80
2011,Maret,337.10
2011,April,250.80
2011,Mei,210.50
2011,Juni,83.10
2011,Juli,21.30
2011,Agustus,26.80
2011,September,77.30
2011,Oktober,133.50
2011,November,276.40
2011,Desember,856.40
2012,Januari,223.70
2012,Februari,258.40
2012,Maret,313.00
2012,April,319.10
2012,Mei,149.10
2012,Juni,58.40
2012,Juli,193.50
2012,Agustus,70.30
2012,September,58.20
2012,Oktober,157.00
2012,November,297.80
2012,Desember,409.80
2013,Januari,355.20
2013,Februari,414.60
2013,Maret,308.30
2013,April,305.50
2013,Mei,346.50
2013,Juni,140.70
2013,Juli,125.70
2013,Agustus,81.50
2013,September,33.60
2013,Oktober,106.00
2013,November,439.10
2013,Desember,349.40
2014,Januari,443.00
2014,Februari,220.00
2014,Maret,332.00
2014,April,223.00
2014,Mei,159.00
2014,Juni,221.00
2014,Juli,113.00
2014,Agustus,53.00
2014,September,5.00
2014,Oktober,16.00
2014,November,199.00
2014,Desember,387.00
2015,Januari,543.80
2015,Februari,397.70
2015,Maret,337.80
2015,April,324.50
2015,Mei,250.90
2015,Juni,109.60
2015,Juli,24.30
2015,Agustus,38.80
2015,September,
2015,Oktober,33.90
2015,November,112.40
2015,Desember,335.90
2016,Januari,325.00
2016,Februari,294.00
2016,Maret,278.00
2016,April,488.00
2016,Mei,310.00
2016,Juni,211.00
2016,Juli,93.00
2016,Agustus,73.00
2016,September,140.00
2016,Oktober,165.00
2016,November,299.00
2016,Desember,299.00
2017,Januari,466.60
2017,Februari,415.00
2017,Maret,237.00
2017,April,346.00
2017,Mei,326.10
2017,Juni,229.30
2017,Juli,154.10
2017,Agustus,103.80
2017,September,90.50
2017,Oktober,138.80
2017,November,307.10
2017,Desember,412.40
